seal_sha256,draw,pipeline,axis,t_name,is_identity,r_name,k,n_eff,n_raw,p_hat,cp_lcb,accepted,skipped_low_neff,in_signature
f73ca3324a321d80dc3d63e6bf4afa9f6240cdfd0a658acacbe7209dc8c1b144,0,f_track,rule_clause,add_strict_clause,0,R_eq_omega,161,300,300,0.5367,0.4413,0,0,0
f73ca3324a321d80dc3d63e6bf4afa9f6240cdfd0a658acacbe7209dc8c1b144,0,f_track,rule_clause,add_strict_clause,0,R_up_omega,0,300,300,0.0,0.0,0,0,0
f73ca3324a321d80dc3d63e6bf4afa9f6240cdfd0a658acacbe7209dc8c1b144,0,f_track,rule_clause,add_strict_clause,0,R_down_omega,158,300,300,0.5267,0.4315,0,0,0
f73ca3324a321d80dc3d63e6bf4afa9f6240cdfd0a658acacbe7209dc8c1b144,0,f_track,rule_clause,add_strict_clause,0,R_sign_eq,293,300,300,0.9767,0.9333,1,0,1
f73ca3324a321d80dc3d63e6bf4afa9f6240cdfd0a658acacbe7209dc8c1b144,0,f_track,rule_clause,remove_last_clause,0,R_eq_omega,149,300,300,0.4967,0.4021,0,0,0
f73ca3324a321d80dc3d63e6bf4afa9f6240cdfd0a658acacbe7209dc8c1b144,0,f_track,rule_clause,remove_last_clause,0,R_up_omega,89,300,300,0.2967,0.215,0,0,0
f73ca3324a321d80dc3d63e6bf4afa9f6240cdfd0a658acacbe7209dc8c1b144,0,f_track,rule_clause,remove_last_clause,0,R_down_omega,66,300,300,0.22,0.1481,0,0,0
f73ca3324a321d80dc3d63e6bf4afa9f6240cdfd0a658acacbe7209dc8c1b144,0,f_track,rule_clause,remove_last_clause,0,R_sign_eq,257,300,300,0.8567,0.7805,0,0,0
f73ca3324a321d80dc3d63e6bf4afa9f6240cdfd0a658acacbe7209dc8c1b144,0,f_track,case_fact,case_revenue_up,0,R_eq_omega,246,300,300,0.82,0.7386,0,0,0
f73ca3324a321d80dc3d63e6bf4afa9f6240cdfd0a658acacbe7209dc8c1b144,0,f_track,case_fact,case_revenue_up,0,R_up_omega,54,300,300,0.18,0.1147,0,0,0
f73ca3324a321d80dc3d63e6bf4afa9f6240cdfd0a658acacbe7209dc8c1b144,0,f_track,case_fact,case_revenue_up,0,R_down_omega,0,300,300,0.0,0.0,0,0,0
f73ca3324a321d80dc3d63e6bf4afa9f6240cdfd0a658acacbe7209dc8c1b144,0,f_track,case_fact,case_revenue_up,0,R_sign_eq,274,300,300,0.9133,0.8484,0,0,0
f73ca3324a321d80dc3d63e6bf4afa9f6240cdfd0a658acacbe7209dc8c1b144,0,f_track,case_fact,case_revenue_down,0,R_eq_omega,243,300,300,0.81,0.7274,0,0,0
f73ca3324a321d80dc3d63e6bf4afa9f6240cdfd0a658acacbe7209dc8c1b144,0,f_track,case_fact,case_revenue_down,0,R_up_omega,0,300,300,0.0,0.0,0,0,0
f73ca3324a321d80dc3d63e6bf4afa9f6240cdfd0a658acacbe7209dc8c1b144,0,f_track,case_fact,case_revenue_down,0,R_down_omega,57,300,300,0.19,0.1229,0,0,0
f73ca3324a321d80dc3d63e6bf4afa9f6240cdfd0a658acacbe7209dc8c1b144,0,f_track,case_fact,case_revenue_down,0,R_sign_eq,271,300,300,0.9033,0.836,0,0,0
f73ca3324a321d80dc3d63e6bf4afa9f6240cdfd0a658acacbe7209dc8c1b144,0,f_track,case_fact,case_team_plus,0,R_eq_omega,262,300,300,0.8733,0.8,0,0,0
f73ca3324a321d80dc3d63e6bf4afa9f6240cdfd0a658acacbe7209dc8c1b144,0,f_track,case_fact,case_team_plus,0,R_up_omega,38,300,300,0.1267,0.0722,0,0,0
f73ca3324a321d80dc3d63e6bf4afa9f6240cdfd0a658acacbe7209dc8c1b144,0,f_track,case_fact,case_team_plus,0,R_down_omega,0,300,300,0.0,0.0,0,0,0
f73ca3324a321d80dc3d63e6bf4afa9f6240cdfd0a658acacbe7209dc8c1b144,0,f_track,case_fact,case_team_plus,0,R_sign_eq,274,300,300,0.9133,0.8484,0,0,0
f73ca3324a321d80dc3d63e6bf4afa9f6240cdfd0a658acacbe7209dc8c1b144,0,f_track,case_fact,case_team_minus,0,R_eq_omega,257,300,300,0.8567,0.7805,0,0,0
f73ca3324a321d80dc3d63e6bf4afa9f6240cdfd0a658acacbe7209dc8c1b144,0,f_track,case_fact,case_team_minus,0,R_up_omega,0,300,300,0.0,0.0,0,0,0
f73ca3324a321d80dc3d63e6bf4afa9f6240cdfd0a658acacbe7209dc8c1b144,0,f_track,case_fact,case_team_minus,0,R_down_omega,43,300,300,0.1433,0.0852,0,0,0
f73ca3324a321d80dc3d63e6bf4afa9f6240cdfd0a658acacbe7209dc8c1b144,0,f_track,case_fact,case_team_minus,0,R_sign_eq,278,300,300,0.9267,0.8651,0,0,0
f73ca3324a321d80dc3d63e6bf4afa9f6240cdfd0a658acacbe7209dc8c1b144,0,f_track,case_fact,case_risk_up,0,R_eq_omega,199,300,300,0.6633,0.5696,0,0,0
f73ca3324a321d80dc3d63e6bf4afa9f6240cdfd0a658acacbe7209dc8c1b144,0,f_track,case_fact,case_risk_up,0,R_up_omega,0,300,300,0.0,0.0,0,0,0
f73ca3324a321d80dc3d63e6bf4afa9f6240cdfd0a658acacbe7209dc8c1b144,0,f_track,case_fact,case_risk_up,0,R_down_omega,101,300,300,0.3367,0.2511,0,0,0
f73ca3324a321d80dc3d63e6bf4afa9f6240cdfd0a658acacbe7209dc8c1b144,0,f_track,case_fact,case_risk_up,0,R_sign_eq,248,300,300,0.8267,0.7461,0,0,0
f73ca3324a321d80dc3d63e6bf4afa9f6240cdfd0a658acacbe7209dc8c1b144,0,f_track,case_fact,case_risk_down,0,R_eq_omega,206,300,300,0.6867,0.594,0,0,0
f73ca3324a321d80dc3d63e6bf4afa9f6240cdfd0a658acacbe7209dc8c1b144,0,f_track,case_fact,case_risk_down,0,R_up_omega,94,300,300,0.3133,0.23,0,0,0
f73ca3324a321d80dc3d63e6bf4afa9f6240cdfd0a658acacbe7209dc8c1b144,0,f_track,case_fact,case_risk_down,0,R_down_omega,0,300,300,0.0,0.0,0,0,0
f73ca3324a321d80dc3d63e6bf4afa9f6240cdfd0a658acacbe7209dc8c1b144,0,f_track,case_fact,case_risk_down,0,R_sign_eq,259,300,300,0.8633,0.7883,0,0,0
f73ca3324a321d80dc3d63e6bf4afa9f6240cdfd0a658acacbe7209dc8c1b144,0,f_ruleblind,identity,identity,1,R_eq_omega,300,300,300,1.0,0.9754,1,0,0
f73ca3324a321d80dc3d63e6bf4afa9f6240cdfd0a658acacbe7209dc8c1b144,0,f_ruleblind,identity,identity,1,R_up_omega,0,300,300,0.0,0.0,0,0,0
f73ca3324a321d80dc3d63e6bf4afa9f6240cdfd0a658acacbe7209dc8c1b144,0,f_ruleblind,identity,identity,1,R_down_omega,0,300,300,0.0,0.0,0,0,0
f73ca3324a321d80dc3d63e6bf4afa9f6240cdfd0a658acacbe7209dc8c1b144,0,f_ruleblind,identity,identity,1,R_sign_eq,298,300,300,0.9933,0.961,1,0,0
f73ca3324a321d80dc3d63e6bf4afa9f6240cdfd0a658acacbe7209dc8c1b144,0,f_ruleblind,order,permute_founders,0,R_eq_omega,222,222,300,1.0,0.9669,1,0,1
f73ca3324a321d80dc3d63e6bf4afa9f6240cdfd0a658acacbe7209dc8c1b144,0,f_ruleblind,order,permute_founders,0,R_up_omega,0,222,300,0.0,0.0,0,0,0
f73ca3324a321d80dc3d63e6bf4afa9f6240cdfd0a658acacbe7209dc8c1b144,0,f_ruleblind,order,permute_founders,0,R_down_omega,0,222,300,0.0,0.0,0,0,0
f73ca3324a321d80dc3d63e6bf4afa9f6240cdfd0a658acacbe7209dc8c1b144,0,f_ruleblind,order,permute_founders,0,R_sign_eq,221,222,300,0.9955,0.9565,1,0,1
f73ca3324a321d80dc3d63e6bf4afa9f6240cdfd0a658acacbe7209dc8c1b144,0,f_ruleblind,order,permute_risks,0,R_eq_omega,204,204,300,1.0,0.964,1,0,1
